Corporation,project_code,j_name,lat,long,footpath,refuge_islands,signals,cctv,vehicular_light,lane_marking,pedestrian_crossing,median_island,table_top,landscape,cat_eyes,traffic_police_chowk,street_furniture,median,pavers,tactile_pavers,rumble_strips,pedestrian_light,signage,pelican_signals,bus_stop_shifting,autobays,cycle_track,pickup_dropoff,pedestrian_only_zone,tree_pits,bollards,j_code,road_hierarchy,theme,overlapping theme,budget
Central,J119,KFC Signal,12.97842,77.64087,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,J-A041,ARTERIAL,School,School | Commercial ,"6,00,000"
Central,J120,CMH Road - 80 feet Road,12.97863,77.64666,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,PI-C-001,ARTERIAL,Commercial ,Commercial ,"50,000"
Central,J121,Indranagar 100 feet Road Junction,12.97272,77.64119,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,PI-C-002,ARTERIAL,Commercial ,Commercial ,"2,00,00,000"
Central,J122,Shri Vidhya Ganapathi Junction,12.96919,77.62903,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,J-S015,SUB_ARTERIAL,School,School,"20,00,000"
Central,J123,Trinity Church road - Victoria Road Junction,12.96687,77.62061,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,PI-C-003,ARTERIAL,School,,"70,00,000"
Central,J124,Victoria road - Lower Agaram Road Junction,12.96537,77.6178,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,J-A709,ARTERIAL,School,School | Commercial ,"6,00,000"
Central,J125,Victoria road - Richmond Road Junction,12.96727,77.6112,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,J-A022,ARTERIAL,School,School | Commercial | Safe Corridor,"50,000"
Central,J126,Rhenius street - Richmond road junction,12.96542,77.6011,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,J-A019,ARTERIAL,School,School | Commercial | Safe Corridor,"2,00,00,000"
Central,J127,Richmond Circle,12.96489,77.59688,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,J-A027,ARTERIAL,Commercial , Commercial | Safe Corridor,"20,00,000"
Central,J128,Shantinagar TTMC junction,12.96245,77.59496,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,J-A026,ARTERIAL,Commercial , Commercial | Safe Corridor,"70,00,000"
Central,J129,Langford Road - Hossur Road Junction,12.95809,77.60608,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,J-A007,ARTERIAL,Transit,Transit |  Commercial | Safe Corridor,"6,00,000"
Central,J130,Hosur Road - Banarghatta Road Junction,12.95268,77.60519,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,PI-C-004,ARTERIAL,Commercial ,Commercial ,"50,000"
Central,J131,Madhavrao Park,12.94413,77.57726,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,PI-C-005,SUB_ARTERIAL,School,,"2,00,00,000"
Central,J132,Bugle Rock Junction,12.94364,77.56787,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,J-A727,ARTERIAL,School,,"20,00,000"
Central,J133,RV Road South End road Junction,12.93677,77.58015,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,PI-C-006,ARTERIAL,School,School | Safe Corridor,"70,00,000"
Central,J134,Ram Krishna Ashrama Junction,12.94799,77.56787,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,PI-C-007,SUB_ARTERIAL,Commercial ,Commercial ,"6,00,000"
Central,J135,KR road - Vani Villas road Junction,12.94855,77.57378,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,PI-C-008,ARTERIAL,Commercial , Commercial | Safe Corridor,"50,000"
Central,J136,Vanni Villas road Kanakpura Road Junction,12.94831,77.57682,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,PI-C-009,ARTERIAL,School,School |Transit,"2,00,00,000"
