fid,Unique ID,Year,Tag,SL No,Traffic ps,Cr no,Latitude,Longitude,Location of Black spot,Date (DD/MM/YYYY),Time ( in 24 hours),Fatal,GI,MI,Severity,Crash Category,Accused,Victim,Vehicles Involved,Type of Crash,Cause of Crash,Raw Date and Time,Raw Road Users Involved,Raw Type of Accident,Raw Collision Type and Vehicle,Raw Cause of Crash,Raw Fatality,context_primary,context_2,context_3,context_count,junction_primary,junction_roads,known_junction,ctx_toll,ctx_petrol_pump,ctx_bus_stop,ctx_merge_point,ctx_ramp_entry_exit,ctx_entry_exit_to_land_use,ctx_along_main_road,ctx_along_service_road,ctx_along_secondary_local_road,ctx_unclassified,footpath_present,crossing_250m,fob_or_subway_250m,validation,notes,Type of User,Combinations
1,3_20/2022,2022,Legitimate,3,Halasuru Tr,20/2022,12.947462,77.640802,DELL TO AIRVIEW JUNCTION KORMANGALA INNER RING ROAD,25/03/2022,15:30:00,,1.0,,Non-Fatal,Vehicle-Pedestrian,Vehicle,Pedestrian,Vehicle and Pedestrian,Hit from Side,Rash and Negligent,25.03.2022     at 15:30,Pedstrian,,Hit From Side ,RASH AND NEGLIGENT,Vehicle to Pedstrain,T Junction,,,1.0,primary x service,primary x service,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,Hit Pedestrian,['Hit Pedestrian - Hit from Side x T Junction']
2,4_157/2023,2023,Unique,4,Halasuru Tr,157/2023,12.948134,77.640797,DELL TO AIRVIEW JUNCTION KORMANGALA INNER RING ROAD,01/10/2023,14:40:00,1.0,,,Fatal,Self Accident,Object,2W,Object and 2W,Hit Fixed Object,Rash and Negligent,01.10.2023 at 14:40,Two whelers Rider ,Fixed/Stationary Object,Self Accident ,RASH AND NEGLIGENT,,Along Service Road,Along Main Road,,1.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,1,,,"['Hit Fixed Object x Along Service Road', 'Hit Fixed Object x Along Main Road']"
3,6_26/2023,2023,Legitimate,6,Halasuru Tr,26/2023,12.947634,77.640835,DELL TO AIRVIEW JUNCTION KORMANGALA INNER RING ROAD,16/02/2023,07:20:00,,1.0,,Non-Fatal,Self Accident,2W,Self,2W and Self,Skidding,Rash and Negligent,16.02.2023 at 07:20 am,Two whelers Rider ,Skid and Fall,Self Accident,RASH AND NEGLIGENT,,Along Service Road,Along Main Road,,1.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,1,,,"['Skidding x Along Service Road', 'Skidding x Along Main Road']"
4,7_138/2023,2023,Unique,7,Halasuru Tr,138/2023,12.946097,77.640051,DELL TO AIRVIEW JUNCTION KORMANGALA INNER RING ROAD,20/07/2023,06:30:00,,1.0,,Non-Fatal,Vehicle-Vehicle,Vehicle,Cycle,Vehicle and Cycle,Hit from Side,Rash and Negligent,20.07.2023 at 06:30 am,Bycycle Rider,Vehicle to Bycycle ,Hit from Side ,RASH AND NEGLIGENT,,Intersection,Bus Stop,,1.0,primary x primary_link,primary x primary_link,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1,,,"['Hit from Side x Intersection', 'Hit from Side x Bus Stop']"
5,13_165/2023,2023,Unique,13,Halasuru Tr,165/2023,12.947634,77.640835,DELL TO AIRVIEW JUNCTION KORMANGALA INNER RING ROAD,11/11/2023,22:30:00,,1.0,,Non-Fatal,Self Accident,2W,Self,2W and Self,Skidding,Rash and Negligent,11.11.2023 at 22:30,Two whelers Rider ,Skid and Fall,Self Accident,RASH AND NEGLIGENT,,Along Main Road,,,1.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,1,,,['Skidding x Along Main Road']
6,9_45/2024,2024,Legitimate,9,Halasuru Tr,45/2024,12.949113,77.640966,DELL TO AIRVIEW JUNCTION KORMANGALA INNER RING ROAD,09/06/2024,06:40:00,1.0,,,Fatal,Vehicle-Pedestrian,Vehicle,Pedestrian,Vehicle and Pedestrian,Hit from Side,Rash and Negligent,09.06.2024 at 06:40 am,Pedstrian,Vehicle to Pedstrain,Hit From Side ,RASH AND NEGLIGENT,,Along Main Road,,,0.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,Hit Pedestrian,['Hit Pedestrian - Hit from Side x Along Main Road']
7,10_075/2024,2024,Unique,10,Halasuru Tr,075/2024,12.948134,77.640797,DELL TO AIRVIEW JUNCTION KORMANGALA INNER RING ROAD,25/08/2024,17:10:00,1.0,,,Fatal,Self Accident,2W,Self,2W and Self,Skidding,Rash and Negligent,25.08.2024 at 17:10 PM,Two whelers Rider ,Skid and Fall,Self Accident,RASH AND NEGLIGENT,,Along Main Road,,,1.0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,1,,,['Skidding x Along Main Road']
8,17_91/2024,2024,Legitimate,17,Halasuru Tr,91/2024,12.946047,77.640018,DELL TO AIRVIEW JUNCTION KORMANGALA INNER RING ROAD,08/10/2024,08:30:00,,1.0,,Non-Fatal,Vehicle-Vehicle,2W,2W,2W and 2W,Hit from Back,Rash and Negligent,08.10.2024 at 08:30,Two whelers Rider ,Vehicle to Vehicle ,Hit From Back,RASH AND NEGLIGENT,,Intersection,Bus Stop,,1.0,primary x primary_link,primary x primary_link | primary x service,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1,,,"['Hit from Back x Intersection', 'Hit from Back x Bus Stop']"
16,49_004/2023,2023,Unique,49,WHITEFIELD,004/2023,12.946916,77.746351,VARTHURU KODI TO VARTHURU BRIDGE,10/01/2023,11:30:00,,1.0,,Non-Fatal,Vehicle-Vehicle,Canter,2W,Canter and 2W,Head-On,Rash and Negligent,10.01.2023 at around 11:30,Vehicle to Vehicle,Canter & Motor Cycle,Head on Collision,Rash &Negligence Driving,,Entry/Exit to Land Use,Entry/Exit to Land Use,Along Service Road,3.0,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,1,,,"['Head-On x Entry/Exit to Land Use', 'Head-On x Along Service Road']"
41,4_47/2022,2022,Unique,4,Halasuru Tr,47/2022,12.954604,77.641388,DELL TO AIRVIEW JUNCTION KORMANGALA INNER RING ROAD,08/05/2022,,1.0,,,Fatal,Vehicle-Pedestrian,Vehicle,Pedestrian,Vehicle and Pedestrian,Hit from Side,Rash and Negligent,08.05.2022 at 2022,Pedestrian,,Hit From Side ,RASH AND NEGLIGENT,Vehicle to Pedstrain,Bus Stop,T Junction,,1.0,primary x tertiary,primary x tertiary,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,,Hit Pedestrian,"['Hit Pedestrian - Hit from Side x Bus Stop', 'Hit Pedestrian - Hit from Side x T Junction']"
